title=静止五分钟采集的第十二次数据
time=2022-10-31 21:30
freq=100
note=相比第十一次，顺时针旋转90度
head=count,pitch,roll,yaw,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,minutes,seconds
data=
24203,0.00,0.07,0.04,896,6,13474,-40,9,-31,29,3
24204,0.00,0.07,0.04,910,26,13482,-38,9,-30,29,3
24205,0.00,0.07,0.04,920,12,13404,-39,10,-31,29,3
24206,0.00,0.07,0.04,860,64,13396,-39,9,-29,29,3
24207,0.00,0.07,0.04,904,52,13608,-39,11,-29,29,3
24208,0.00,0.07,0.05,874,58,13394,-38,10,-32,29,3
24209,0.00,0.07,0.05,930,-28,13360,-39,11,-30,29,3
24210,0.00,0.07,0.05,878,-2,13470,-40,9,-30,29,3
24211,0.00,0.07,0.05,910,-30,13518,-39,10,-31,29,3
24212,0.00,0.07,0.05,920,-14,13516,-38,10,-30,29,3
24213,0.00,0.07,0.05,912,-10,13478,-39,9,-29,29,3
24214,0.00,0.07,0.05,876,-2,13422,-40,9,-30,29,3
24215,0.00,0.07,0.05,928,16,13484,-39,9,-31,29,3
24216,0.00,0.07,0.05,920,42,13462,-39,9,-32,29,3
24217,0.00,0.07,0.04,866,-8,13422,-39,10,-31,29,3
24218,0.00,0.07,0.04,906,46,13406,-39,10,-30,29,3
24219,0.00,0.07,0.04,966,10,13436,-40,10,-29,29,3
24220,0.00,0.07,0.05,850,14,13558,-39,10,-30,29,3
24221,0.00,0.07,0.05,922,8,13550,-40,11,-29,29,3
24222,0.00,0.07,0.05,900,20,13442,-39,10,-30,29,3
24223,0.00,0.07,0.05,908,54,13542,-39,11,-29,29,3
24224,0.00,0.07,0.05,864,40,13524,-39,11,-30,29,3
24225,0.01,0.07,0.05,852,-20,13502,-39,9,-29,29,3
24226,0.01,0.07,0.05,934,-10,13490,-40,8,-31,29,3
24227,0.00,0.07,0.05,898,20,13442,-40,10,-30,29,3
24228,0.00,0.07,0.05,914,-30,13450,-39,10,-29,29,3
24229,0.00,0.07,0.05,962,38,13410,-39,9,-29,29,3
24230,0.00,0.07,0.05,974,22,13382,-38,11,-30,29,3
24231,0.00,0.07,0.05,912,48,13440,-39,10,-30,29,3
24232,0.00,0.07,0.05,910,54,13452,-38,11,-30,29,3
24233,0.00,0.07,0.05,854,72,13488,-40,10,-30,29,3
24234,0.00,0.07,0.05,916,2,13476,-40,10,-31,29,3
24235,0.00,0.07,0.05,968,-40,13408,-38,10,-30,29,3
24236,0.00,0.07,0.05,862,8,13458,-39,10,-31,29,3
24237,0.01,0.07,0.05,930,24,13428,-39,11,-30,29,3
24238,0.01,0.07,0.05,916,50,13392,-39,10,-31,29,3
24239,0.01,0.07,0.05,880,84,13354,-39,9,-30,29,3
24240,0.01,0.07,0.05,918,54,13492,-40,10,-29,29,3
24241,0.01,0.07,0.05,952,32,13386,-40,9,-31,29,3
24242,0.00,0.07,0.05,900,-6,13498,-38,11,-30,29,3
24243,0.00,0.07,0.05,896,38,13478,-39,10,-29,29,3
24244,0.00,0.07,0.05,888,48,13522,-39,10,-29,29,3
24245,0.00,0.07,0.05,902,14,13460,-39,10,-30,29,3
24246,0.01,0.07,0.05,858,92,13362,-39,10,-31,29,3
24247,0.01,0.07,0.05,872,48,13450,-39,9,-30,29,3
24248,0.01,0.07,0.05,864,-8,13504,-39,9,-30,29,3
24249,0.01,0.07,0.05,936,-6,13456,-39,10,-30,29,3
24250,0.01,0.07,0.05,904,46,13526,-39,9,-29,29,3
24251,0.01,0.07,0.05,900,76,13444,-41,11,-29,29,3
24252,0.01,0.08,0.05,914,28,13474,-39,10,-29,29,3
24253,0.01,0.08,0.05,896,-12,13390,-40,11,-31,29,3
24254,0.01,0.08,0.05,896,-12,13384,-39,10,-29,29,3
24255,0.01,0.07,0.05,950,4,13454,-39,10,-30,29,3
24256,0.01,0.07,0.05,936,4,13510,-38,10,-29,29,3
24257,0.01,0.07,0.05,906,0,13408,-39,11,-30,29,3
24258,0.01,0.07,0.05,960,10,13506,-39,11,-29,29,3
24259,0.01,0.07,0.05,934,28,13378,-39,11,-29,29,3
24260,0.01,0.07,0.05,842,12,13466,-40,9,-29,29,3
24261,0.01,0.07,0.05,980,70,13556,-39,10,-29,29,3
24262,0.01,0.07,0.05,906,-6,13414,-39,10,-29,29,3
24263,0.01,0.07,0.05,844,-8,13450,-38,10,-31,29,3
24264,0.01,0.07,0.05,904,38,13532,-38,11,-31,29,3
24265,0.01,0.07,0.05,884,40,13462,-39,11,-31,29,3
24266,0.01,0.07,0.05,942,58,13548,-40,11,-30,29,3
24267,0.01,0.08,0.05,954,80,13470,-40,10,-29,29,3
24268,0.01,0.08,0.05,888,-2,13492,-39,11,-30,29,3
24269,0.01,0.08,0.05,930,6,13498,-39,11,-31,29,3
24270,0.01,0.08,0.05,986,22,13484,-39,8,-30,29,3
24271,0.01,0.08,0.05,1012,-14,13530,-40,10,-31,29,3
24272,0.01,0.08,0.05,942,6,13534,-39,10,-30,29,3
24273,0.00,0.08,0.05,900,14,13488,-40,10,-31,29,3
24274,0.00,0.08,0.05,942,0,13432,-40,10,-32,29,3
24275,0.00,0.08,0.05,898,22,13518,-40,10,-31,29,3
24276,0.00,0.08,0.05,908,-36,13452,-39,10,-30,29,3
24277,0.00,0.07,0.05,852,66,13438,-40,9,-30,29,3
24278,0.00,0.07,0.05,974,-58,13508,-38,10,-29,29,3
24279,0.00,0.07,0.05,902,-52,13506,-39,10,-29,29,3
24280,0.00,0.07,0.05,902,24,13368,-40,10,-31,29,3
24281,0.00,0.07,0.05,900,-8,13562,-39,10,-31,29,3
24282,0.00,0.07,0.05,948,24,13440,-40,11,-29,29,3
24283,0.00,0.07,0.05,956,8,13430,-39,10,-30,29,3
24284,0.00,0.07,0.05,876,-6,13450,-39,9,-30,29,3
24285,0.00,0.07,0.05,880,60,13520,-38,11,-30,29,3
24286,0.00,0.07,0.05,900,8,13512,-39,11,-29,29,3
24287,0.00,0.07,0.05,936,54,13408,-39,10,-29,29,3
24288,0.00,0.08,0.05,900,-16,13514,-39,11,-29,29,3
24289,0.01,0.07,0.05,926,-18,13542,-39,11,-31,29,3
24290,0.01,0.07,0.05,852,-10,13468,-41,11,-30,29,3
24291,0.01,0.07,0.05,922,48,13516,-40,9,-32,29,3
24292,0.01,0.07,0.05,946,14,13408,-40,11,-29,29,3
24293,0.01,0.07,0.05,926,90,13498,-40,10,-30,29,3
24294,0.01,0.07,0.05,932,38,13462,-40,11,-29,29,4
24295,0.01,0.07,0.05,958,-4,13478,-40,9,-31,29,4
24296,0.01,0.07,0.05,970,50,13440,-39,9,-30,29,4
24297,0.00,0.07,0.05,882,32,13394,-40,9,-30,29,4
24298,0.01,0.07,0.05,926,56,13502,-39,9,-31,29,4
24299,0.01,0.07,0.05,940,108,13522,-39,10,-32,29,4
24300,0.00,0.07,0.05,908,2,13472,-40,10,-30,29,4
24301,0.00,0.07,0.05,912,50,13418,-40,10,-29,29,4
24302,0.00,0.07,0.05,920,-8,13502,-40,9,-29,29,4
24303,0.00,0.07,0.05,846,72,13466,-39,10,-31,29,4
24304,0.00,0.07,0.05,900,12,13452,-40,9,-29,29,4
24305,0.00,0.07,0.05,924,8,13564,-40,9,-30,29,4
24306,0.00,0.07,0.05,960,-30,13408,-38,9,-30,29,4
24307,0.00,0.07,0.05,942,16,13458,-40,10,-29,29,4
24308,0.00,0.07,0.05,870,22,13458,-38,9,-29,29,4
24309,0.00,0.07,0.05,894,18,13466,-39,9,-30,29,4
24310,0.00,0.07,0.05,928,52,13470,-39,12,-30,29,4
24311,0.00,0.07,0.05,916,0,13540,-39,10,-30,29,4
24312,0.00,0.07,0.05,848,58,13456,-40,10,-30,29,4
24313,0.00,0.07,0.05,950,28,13488,-39,9,-29,29,4
24314,0.00,0.07,0.05,894,34,13474,-39,11,-30,29,4
24315,0.00,0.07,0.05,912,6,13406,-40,11,-30,29,4
24316,0.01,0.07,0.05,878,42,13430,-39,11,-30,29,4
24317,0.01,0.08,0.05,930,-20,13470,-40,9,-30,29,4
24318,0.01,0.07,0.05,898,34,13506,-39,9,-29,29,4
24319,0.01,0.07,0.05,944,-10,13450,-39,9,-30,29,4
24320,0.01,0.07,0.05,930,-30,13448,-39,11,-29,29,4
24321,0.00,0.07,0.06,918,50,13338,-39,11,-31,29,4
24322,0.00,0.08,0.05,914,-8,13452,-39,10,-29,29,4
24323,0.00,0.08,0.06,910,10,13466,-40,10,-29,29,4
24324,0.00,0.07,0.06,930,38,13430,-39,10,-30,29,4
24325,0.00,0.08,0.06,914,-22,13514,-40,11,-30,29,4
24326,0.00,0.07,0.06,930,46,13566,-40,11,-30,29,4
24327,0.00,0.07,0.05,918,14,13470,-40,10,-30,29,4
